domain,redirect
tasefiling.gov,https://itatasb2c.b2clogin.com/273317c2-6fdc-4d1f-8000-6d9fc6ca17a3/b2c_1_tasportalapp/oauth2/v2.0/authorize?client_id=380dcc7e-7e25-4594-90d9-ca2efc305ba3&redirect_uri=https%3A%2F%2Ftasefiling.powerappsportals.us%2Fsignin-aad-b2c_1&response_type=code%20id_token&scope=openid&state=OpenIdConnect.AuthenticationProperties%3DZeknVyq27-hjI40kKMMfwtmBG7m64fSA3gz3e_UvYfotJXMOVV1eXRYtH9BzDcRSHwGiTEa6IfukpHUZVcHiw12gnOgfrcFTHz1HVotJ8MifuJKMrlFjdd1ogqo87iNhnUw0AX6ajf6th6phwlLmq9tUeYd5JKbVM7_HwEzi_n4bvJ-eUk3DEz0rBJcafqZ3GNxy2oZmc2H9K8-YRCtNERz0_FFG9xmDkysjqHdX_9nQ1Tz-Y-WQSZKsvYHWapgEI7UI63sm5fiZodUldt-1kCqr1OuLXLUUF1v_GYbTvQ6Jtp7bUq4952zTZu7xnDW8EzW9EhkOx8F9KvY_1vhqxAiRrkMDwqeYuOXazVE0vlHNg0p2tlZm24T6WMRMDVG8F1G3O12PsGqJ7B5740NMiKTM2tBzvIBE1Kaji0noQMi-DBH4XGVp5tlQOWQefXRZqcOqlIyFrysm5hxqagxK_tA7TyGbkYy73WGIfXizEa6i3FYU-X2ZfviTcDSTUtgBTu6D-qk6TMHFeTWH2fTnWQ5ZzYvNnRtET8qKfotfYCIhOHePnzdQr9-gXAWGW8vfafVDY5iIFh8nVEqUFLQgG1ljEi6YkhZxqqpddhle2_5MBjv0hIc9D5Lml-v0nSBt&response_mode=form_post&nonce=638734471906834989.NmEzMzAxMDQtNzE1Mi00MWQyLWI4OTEtNGNiMmM5YWQ1YmM2YzkxODU5MjEtZDA1Mi00OGU5LTgwMGEtYTdjYjI2NWFmMDM1&ui_locales=en-US&x-client-SKU=ID_NET472&x-client-ver=6.35.0.0
techhubs.gov,https://www.eda.gov/funding/programs/regional-technology-and-innovation-hubs
telework.gov,https://www.opm.gov/telework/
thebraininitiative.gov,https://braininitiative.nih.gov/
thehearttruth.com,https://www.nhlbi.nih.gov/health-topics/education-and-awareness/heart-truth
thehearttruth.org,https://www.nhlbi.nih.gov/health-topics/education-and-awareness/heart-truth
treas.gov,https://home.treasury.gov/
treasuryscams.gov,https://www.treasurydirect.gov/laws-and-regulations/fraud/
tribaljusticeandsafety.gov,https://www.justice.gov/tribal
trumpwhitehouse.gov,https://trumpwhitehouse.archives.gov/
tsc.gov,https://www.fbi.gov/investigate/terrorism/tsc
tva.gov,https://www.tva.com/
tvaed.com,https://www.tva.com/Economic-Development
ui.gov,https://www.dol.gov/
unemployment.gov,https://www.dol.gov/
unionreports.gov,https://www.dol.gov/agencies/olms/public-disclosure-room
unlocktalent.gov,https://www.opm.gov/data/
urbanwaters.gov,https://www.epa.gov/urbanwaterspartners
us-cert.gov,https://www.cisa.gov/
us.gov,https://www.usa.gov/
usa250.gov,https://america250.org/
usability.gov,https://digital.gov/topics/usability/
usagov.gov,https://www.usa.gov/
usajobs.com,https://www.usajobs.gov/
uscode.gov,https://www.govinfo.gov/app/collection/uscode
usda.mannlib.cornell.edu,https://usda.library.cornell.edu/
usdfc.gov,https://www.dfc.gov/
usdigitalservice.gov,https://www.usds.gov/
usdoj.gov,https://www.justice.gov/
userra.gov,https://www.justice.gov/servicemembers
usidfc.gov,https://www.dfc.gov/
ussm.gov,https://ussm.gsa.gov/
usss.gov,https://www.secretservice.gov/
ustreas.gov,https://home.treasury.gov/
utahfireinfo.gov,https://utah-fire-info-utahdnr.hub.arcgis.com/
vaccine.gov,https://www.vaccines.gov/en/
vaccinefinder.org,https://www.vaccines.gov/en/
vacine.gov,https://www.vaccines.gov/en/
vacines.gov,https://www.vaccines.gov/en/
vacuna.gov,https://www.vaccines.gov/es/
vacunas.gov,https://www.vaccines.gov/es/
vehiclehistory.gov,https://vehiclehistory.bja.ojp.gov/
veterans.gov,https://www.dol.gov/agencies/vets?utm_source=veterans_gov&utm_medium=redirect&utm_campaign=veterans_gov_redirect
vets.gov,https://www.va.gov/
visforvaccinated.gov,https://www.hhs.gov/visforvaccinated/index.html
voa.gov,https://www.voanews.com/
voatour.com,https://www.insidevoa.com/p/8574.html
volcano.gov,https://www.usgs.gov/natural-hazards/volcano-hazards/
volcanoes.usgs.gov,https://www.usgs.gov/natural-hazards/volcano-hazards/
votebymail.gov,https://www.eac.gov/voters/national-mail-voter-registration-form
water.usgs.gov,https://www.usgs.gov/mission-areas/water-resources
wh.gov,https://www.whitehouse.gov/
wibeaches.us,https://dnr.wisconsin.gov/topic/Beaches
wizard.gov,https://treasurydirect.gov/savings-bonds/savings-bond-calculator/
worldwar1centennial.gov,https://worldwar1centennial.org/
youthrules.gov,https://www.dol.gov/agencies/whd/youthrules
